var,context,short def,long def,number of vars in sentence,context length,distance
y,We may factorize ϕ(y) where y is an integer,integer,integer,1,9,3
v,are a tuple of positive reals and the v is a tuple of elements,tuple,tuple of elements,1,14,6
|A|,for the difference set and |A| for the cardinality of A,cardinality,cardinality,1,11,3
E,the system size dependence of the enhancement factor E defined as,factor,enhancement factor,1,11,1
K,and the inelasticity K can be calculated,inelasticity,inelasticity,1,7,1
W,of the kernel for given energy W,energy,energy,1,7,1
S,We investigate the strange S dibaryon state with the total angular,strange,strange,1,11,1
i,Here we represent the spectator particle i and the interacting particles jk,particle,spectator particle,2,12,1
J,dibaryon state with the total angular momentum J,momentum,total angular momentum,1,8,1
τ,The minimum occurs at a time τ where the phonon wavevector q,time,time,2,12,1
ωq,framework with ρ the mass density of the semiconductor ωq the phonon energy,energy,phonon energy,2,13,3
fSNIa,The parameter of interest here is fSNIa which is defined as the fraction of stars,fraction,fraction of stars,1,15,6
Ni,For every element i the total number of atoms Ni is a linear combination,number,total number of atoms,1,14,3
mLe,The matrices mLe and mRe are mass matrices defined by,matrix,matrix,2,10,1
ξe,the angle θ is related to the parameter ξe by,parameter,parameter,2,10,1
mRe,The matrices mLe and mRe are mass matrices defined by,matrix,matrix,2,10,3
ϕu,HLu are conventional SU(2)L doublet Higgs scalars ϕd and ϕu are SU(2)L singlet scalars,scalar,SU(2)L singlet scalar,3,14,3
W,In a similar way we can write the superpotential W for the superfields,superpotential,superpotential,1,13,1
ϕLi,are vacuum expectation values (VEVs) of 3 Higgs scalars ϕLi,scalar,Higgs scalar,1,10,1
θ,independently of WSB and the parameter θ in WSB determines the ratio,parameter,parameter,1,12,1
Me,the flavor structure of the charged lepton mass matrix Me,matrix,charged lepton mass matrix,1,10,1
UMNS,we obtain the mixing matrix UMNS and the eigenvalues mνi of the neutrino mass,matrix,mixing matrix,2,14,1
ϕd,HLd and HLu are conventional SU(2)L doublet Higgs scalars ϕd and ϕu are SU(2)L singlet scalars and,scalar,SU(2)L singlet scalar,4,17,1
mLν,so that we obtain the mass matrix mLν which is defined by,matrix,mass matrix,1,12,1
Φ,The scalar Φ has been introduced in order to generate the,scalar,scalar,1,11,1
UTB,and UTB is the tribimaximal mixing matrix,matrix,tribimaximal mixing matrix,1,7,5
vi,where vi are vacuum expectation values (VEVs) of 3 Higgs,values,vacuum expectation values,1,10,4
Mν,and the eigenvalues mνi of the neutrino mass matrix Mν,matrix,neutrino mass matrix,2,10,1
ME,Here ME is a mass matrix of hypothetical heavy leptons,matrix,mass matrix of hypothetical heavy leptons,1,10,4
v,starting at x with velocity v and everywhere perpendicular to ℱ,velocity,velocity,1,11,1
p,More precisely for a subgroup F of GL(p) (where p is the dimension of the leaves of ℱ),dimension,dimension of the leaves of ℱ,2,18,3
M,this work we want to consider a compact manifold M with a smooth foliation ℱ,manifold,compact manifold,2,15,1
φ,then using the diffeomorphism φ above it follows that the natural projection,diffeomorphism,diffeomorphism,1,12,1
n,Following we define n and m as the maximal dimensions of the,dimension,maximal dimension,2,12,6
z,Note that hβ for a central element z of order p in Z.,element,central element,2,13,1
