var,context,def
"t","where t is a polynomial in logp","polynomial"
"λ","and if the electron mean free path λ is less than the Rechester-Rosenbluth","path"
"ϵ","We also introduce the parameter ϵ","parameter"
"𝐁","between the total magnetic field 𝐁 and","field"
"T","we can neglect the temperature T in the core and","temperature"
"𝜹𝐁","assume that the random component of the magnetic field 𝜹𝐁 is much stronger","field"
"t","was formed at zero time t the temperature was homogeneous","time"
"D","The weak Ising anisotropy D is small enough that","anisotropy"
"Δl","averaged in stripes with a width Δl and corrected for","width"
"Qc","show that around the anti-ferromagnetic point Qc the continuum lies higher","point"
"N","diagonalization of a spin chain with N sites and","sites"
"n","whereas any bounded-error classical algorithm for it requires n queries","queries"
"p","field having q elements for some prime p","prime"
"x→","and we identify x with the column vector x→","vector"
"l","occurring at all during the first l queries is bounded above by","queries"
"q","usual we let (q) denote the finite field having q","field"
"R","we will show that for any commutative ring R where such a Fourier transform","ring"
"V","Define an n×n matrix V as follows","matrix"
"ε","the quantum Fourier transform modulo p to within accuracy ε","accuracy"
"F","where F denotes the QFT and the two-register gate labeled","QFT"
"VG","being determined by the applied gate–voltage VG","gate–voltage"
"t","find m additional electrons on the island at time t","time"
"f","voltage applied to the two driving gates at frequency f","frequency"
"T","using the data at the lowest temperature T","temperature"
"J","in the meson as well as the spin factor J","factor"
"A","with three different normalisation parameters A but the slope parameter B","parameters"
"ω","to the dependence of λ upon the angular velocity ω equation","velocity"
"Q","the mass quadrupole moment Q varies very slightly between","moment"
"q","is the aspect ratio of the Earth’s liquid core q are the only possibilities","ratio"
"ωi","associated eigenvalues converge toward the frequency ωi such that Λ(ωi)","frequency"
"ω","velocity of the fluid and ω is the frequency of the oscillation","frequency"
"ν","assumed incompressible with a kinematic viscosity ν","viscosity"
"TH","statistical hadronization with chemical freezeout temperature TH","temperature"
"εin","estimate of the initial energy density εin","density"
"tdec","hence a decoherence time tdec","time"
"γ","and an overall multiplicative constant γ that incorporates","constant"
"Λ","a high energy cutoff Λ an exponent characterising the","cutoff"
"ω","oscillators with the same frequency ω there would typically","frequency"
"tcl","There is the classicalisation time tcl","time"
"Ek","the presence of the socalled knee at an energy Ek","energy"
"Λk","atmospheric depth with an attenuation length Λk in very good agreement with","length"
"λk","any non–negative integer k the differential λk","differential"
"k","for any non–negative integer k the differential λk","integer"
"g","hyperelliptic Riemann surfaces Σ of genus g","genus"
"Δ","The discriminant Δ of p(x) is defined by","discriminant"
"a𝐤","where a𝐤 are bosonic annihilation operators and","operators"
"V","an atomic field operator V is a volume of the system","operator"
"ω","of N atoms in a trap with frequency of ω","frequency"
"Q","trace TrN of a generic matrix Q is related to","matrix"
"N","mesoscopic system of N Fermi particles moving independently","particles"
"xi","where xi are the eigenvalues of the position operator x^","eigenvalues"
"p^","in the coordinate representation and p^ is the momentum operator","operator"
"ℬ~j","that owing to the particular form of the matrices ℬ~j j and ℬ~jj","matrix"
"x^","where xi are the eigenvalues of the position operator x^","operator"
"δ","where δ is an auxiliary continuous variable and ξ(x) is","variable"
"ω","we have set the harmonic oscillator frequency ω","frequency"
"ΔeJ","The ratio of the jump of the Josephson energy ΔeJ","energy"
"f","number of flux lines per plaquette is given by f","lines"
"p","are randomly distributed in the ab plane with probability p","probability"
"t","future are the sets of events with time coordinates t satisfying","coordinates"
"𝒮","in the universal state space 𝒮 which evolves according to the Schrödinger","space"
"hp","χ for a sample of cylindrical shape of radius hp","radius"
"L","Reynolds number as ReM where L and v are the typical length scale and","length"
"ReM","cosmological situations the magnetic Reynolds number ReM is very large","number"
"kc","values of the wavenumber k using a exponential cutoff kc","cutoff"
"l","scale for the decay of turbulence on a scale l is the eddy turnover time τl","scale"
"q","defined above and q is a parameter whose value is","parameter"
"ρ","is the current density ρ is the density μ is the dynamical viscosity","density"
"μ","current density ρ is the density μ is the dynamical viscosity and η is the","density"
"η","is the density μ is the dynamical viscosity and η is the magnetic diffusivity","diffusivity"
"t","different value of time t the data collapses onto","time"
"τl","on a scale l is the eddy turnover time τl","time"
"HM","The magnetic helicity HM is given by","helicity"
"ν","to the mean kinematic viscosity ν which we define as","viscosity"
"EM","the shell-integrated energy spectrum EM which is","spectrum"
"𝐁","where 𝐁 is the magnetic field in terms","field"
"cs","The sound speed cs takes the value cs","speed"
"n","chose the slope of the power spectrum to be n","slope"
"c","in units of c where c is the speed of light 𝐤","speed"
"c","p is a bound state of a core particle c of spin I and projection μ and a","particle"
"p","in which the projectile nucleus p is a bound state of a core particle","nucleus"
"q","which is expanded to a maximum specified multipole order q","order"
"r","The continuum bins were calculated using radii r","radii"
"ℰmax","carried out up to maximum relative energy ℰmax for each state","energy"
"I","bound state of a core particle c of spin I and projection μ and a valence particle v","spin"
"k","is over all bins α which contain wave number k","number"
"Δki","of intervals or bins each with a width Δki","width"
"s","projection μ and a valence particle v of spin s and projection σ","spin"
"mp","The particle masses are mp and","mass"
"𝒬","𝐯 is the fluid velocity P is the pressure 𝒬 is an explicit artificial viscosity","pressure"
"ℳ","sound speed cs which gives a Mach number ℳ at R","number"
"ρ","where ρ is the mass density ϵ is the specific","density"
"P","energy 𝐯 is the fluid velocity P is the pressure 𝒬 is an","velocity"
"MRϕ","plot of the Maxwell stress MRϕ in terms of a","stress"
"t","is run out to time t which is 22 orbits at the","time"
"Φ","𝐁 is the magnetic field vector and Φ is the gravitational potential","potential"
"R","comparable to the disk radius R the thick disk or accretion","radius"
"cs","at constant density ρ and a sound speed cs which gives a Mach number ℳ","speed"
"H","With a pressure scale height H comparable to the disk radius","height"
"kR","vertical wavenumber kz and vanishing radial and azimuthal wavenumbers kR and m","wavenumber"
"σ","where σ is the size of the repulsive core","size"
"A","The parameter A determines the properties of the wall and varies","parameter"
"T","The MD studies are performed at a temperature T","temperature"
"n","chain molecules comprising the polymeric fluid are composed of n Lennard-Jones atoms each","atoms"
"r","fluid atoms separated by a distance r interact with the Lennard-Jones potential","distance"
"Ut","where Ut is the transposition matrix of","matrix"
"U","Suppose that the mixing matrix is U then we have","matrix"
"ρref","where ρref is an arbitrary density matrix","matrix"
"ε→","and ε→ are the restframe polarizations","polarizations"
"ϵ","in v→ and u→ and take the energy variable ϵ according to","variable"
"ϱ","where ξ is the Isgur-Wise function (its slope ϱ will be used later) and","slope"
"j","spin of light degrees of freedom j correlated with its total","freedom"
"π","Here π is nonrelativistic energy π","energy"
"B","We illustrate them on the example of B mesons taking","mesons"
"Σ¯","A spinnonsinglet analogue Σ¯ of Λ¯ is introduced.","analogue"
"τ","we note that in the nonrelativistic case τ are large scaling like inverse square","case"
"f","in relation to the fraction of species f that have been already removed","species"
"rs","The correlation coefficient rs is defined as","coefficient"
"N","which is distributed approximately as Student’s distribution with N degrees of freedom","degrees"
"z","is necessary to provide its longitudinal position z and the transversal angle θ","position"
"nik","We introduce occupation variables nik for the two polyions so that i","variables"
"m","Each ring has m sites available to the condensed counterions see","sites"
"αi","k’th polyion is occupied by a particle of valence αi","valence"
"μ","where the average counterion concentration is μ and the critical fraction","concentration"
"R","treated as parallel rigid cylinders of radius R and Z ionized groups each of charge ","radius"
"θ","position z and the transversal angle θ","angle"
"ξ","The dimensionless quantity ξ is the Manning parameter","parameter"
"MB","Recently reported the detection of an edgeon low luminosity MB","luminosity"
"K","where K is a constant which has the form prescribed","constant"
"λ","while S can emit and absorb all possible wavelengths λ","wavelengths"
"N","consider the distribution of an energy E among the N resonators with the same frequency ν","resonators"
"b","and a and b are universal positive constants while e is the","constant"
"h","introduced his new natural constant h relating the energy element","constant"
"ν","associated with a resonator of frequency ν by the formula ϵ","frequency"
"ϵ","relating the energy element ϵ associated with a resonator","element"
"VT","Since for an adiabatic change VT","change"
"W","involves disorder through the relation S where W is the number of ways or","number"
"A","energy absorbed or absorptivity A depends on the temperature","absorptivity"
"β","where now α and β are positive constants which depend only on the","constants"
"T","Given the dependence on wavelength λ and temperature T of the black body radiation","temperature"
"w","where s and w are the entropy and (average) energy per radiation","energy"
"u","body radiation intensity I(λT) its energy density u and flux F bothn","density"
"v","from a wall moving with velocity v where the relative wavelength change","velocity"
"Mbh","the existence of a BH of a particular mass Mbh at redshift z within a galaxy halo of","mass"
"Δz","survey of solid angle ΔΩ probing a redshift range Δz is given by","angle"
"Lbol","apply a bolometric correction to obtain the total luminosity Lbol","luminosity"
"Mseed","develops a seed BH of mass Mseed as soon as it acquires a minimum mass","mass"
"σmin","a minimum mass Mmin corresponding to a velocity dispersion σmin","dispersion"
"cx","all resonances at the position sx and with coefficient cx","position"
"l","intersection with another singularity in the l plane","plane"
"ρ","resonances and in the spacelike region the ρ trajectory is compared with predictions","trajectory"
"sx","resonances at the position sx and with coefficient cx","position"
"Δρirr","for fixed dosage Δρirr with increasing temperature","dosage"
"b","Thus the impact parameter b is selected to parameterize the geometry","parameter"
"Tp","trying to measure CMB temperature fluctuations Tp of the sky in a number of sky","fluctuations"
"Δl→","where Δl→ is the average distance traveled by","distance"
"Eγ","are shown in fig.2 at a photon energy Eγ and two ϕ momentum cuts of","energy"
"CF","with the acceptance factor CF","factor"
"r→","The ϕ ph production occurs at the point r→ in the nucleus and hencen","point"
"k","Wess-Zumino model for arbitrary level k and number of punctures p on the 2sphere","level"
"m","the number of states with net J quantum number m constructed by placing m","number"
"β","spin on the lth puncture on the 2-sphere and β is the Barbero-Immirzi parameter ","parameter"
"lP","where lP is the Planck length jl is the spin","length"
"N𝒫","In this limit the quantity N𝒫 counts the number of","quantity"
"p","lattice is characterized by a finite large even integer p","integer"
"k","N parallel fibers all with the same elastic constant k","constant"
"N","bundle of N parallel fibers all with the same elastic","fibers"
"η","sample the fibers are divided in η segments with the sameh","segments"
"δc","can find the critical initial strain δc which does not depend","strain"
"τi","where τi is the work done to break each fiber","work"
"zc","deformation z reaches a critical value zc the failure probability","value"
"Kc","of the fracture toughness Kc versus the force F for different system","toughness"
"F","is fixed and in the other a constant force F is applied for example by hanging a weight","force"
"Lbol","was determined to have a bolometric luminosity Lbol through AV whereas","luminosity"
"d","stimulation C is the coupling constant d denotes the dimension and c is the wave","dimension"
"γ","natural frequency and γ the possible damping effects due to such as","effects"
"e","where we dropped the time factor e","factor"
"C","where Fi represents the external stimulation C is the coupling constant d denotes the dimension","stimulation"
"A","scattering for large atomic mass A is different from that","mass"
"NH","We added absorption by neutral gas of column density NH","density"
"D","Note that there is a disk D in Q^ such that D","disk"
"G¯Q","Let G¯Q be the reduced graph of GQ","graph"
"T^","Similarly let T^ be an essential torus in M(β) meeting in","torus"
"GQ","Then as described in we obtain graphs GQ in Q^ and^","graphs"
"Q^","Let Q^ be a reducing sphere in M(α) which intersects","sphere"
"vc","Also say viv∂ and vc the numbers of interior vertices boundary vertices and","number"
"aηN","λ is chosen to reproduce the η-nucleon scattering length aηN","length"
"λ","The strength parameter λ is chosen to reproduce the ηnucleon scattering length","parameter"
"E","while E and Γ are the parameters of the S","parameter"
"κ","κ stands for some unknown parameter","parameter"
"tnγη","same functional form and differ by a constant factor tnγη","factor"
"Ec","the NN phase–shift to change sign at the energy Ec which is equivalent to presence","energy"
"tvis","black hole are given by the viscous drag timescale tvis","timescale"
"σ","adopt a characteristic velocity dispersion σ to determine","dispersion"
"Rcr","critical Reynolds number for the onset of turbulence is Rcr","number"
"∼Rcr","is given by a “universal” constant ∼Rcr which in principal","constant"
"Md","as ϵ where Md is the disk mass","mass"
"rcr","of our model we can estimate the critical radius rcr that separates the two regions dominated by accretion","radius"
"tq","details it seems reasonable to equate the quasar lifetime tq to the merger timescale tmerger thereby","lifetime"
"tsf","star formation exhausts the gas supply on a timescale tsf leading to a final black hole mass","timescale"
"Mg","Let Mg be the total gas mass available for accretion","mass"
"Rcr","provide a direct measure for the typical Reynolds number Rcr in accretion disks around massive","number"
"rd","The accretion disk is Keplerian with size rd where it rotates at","size"
"NT","of the temperature T a number of temperatures NT and a constant temperature step","temperatures"
"L","spin glass with binary random quenched couplings linear size L","size"
"δT","of temperatures NT and a constant temperature step δT","step"
"e","system is in a macroscopic state (eq) with energy e and overlap q","energy"
"l","where l is the magnetic length","units"
"N","will work below with systems containing as many as N particles using an efficient updating method discussed","particles"
"g","If we denote by g and g~ the coupling constants in the two","constant"
"gstring","where gYM and gstring denote the coupling constants of the 𝒩","constants"
"T","on a four dimensional torus T has been found to be dual to type","torus"
"L","constant the COBE data constrains the topological identification scale L","scale"
"N","The maximum number N of images of the cell within the observable","number"
"K","The factor K takes into account the difference in radiation","factor"
